product_code,product_name,category,total_sales_30_days,total_sales_7_days,total_weight_sold_30_g,total_weight_sold_7_g,total_surface_area_30,total_surface_area_7,master_boxes_sold_30,master_boxes_sold_7,Predajnost_30,Predajnost_7
P00001,Stabilizovaný mach - lišajník - Limetková zelená,Sobí mach - Lišajník,44.0,3.0,14900.0,1500.0,0,0,2.98,0.3,2.98,0.7
P00005,Stabilizovaný mach - lišajník - Svetlozelená,Sobí mach - Lišajník,162.5,17.0,149100.0,13900.0,0,0,29.82,2.78,29.82,6.96
P00006,Stabilizovaný mach - lišajník - Stredná zelená,Sobí mach - Lišajník,42.0,8.0,19500.0,2400.0,0,0,3.9,0.48,3.9,0.91
P00007,Stabilizovaný mach - lišajník - Olivová zelená,Sobí mach - Lišajník,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00008,Stabilizovaný mach - lišajník - Tyrkysová zelená,Sobí mach - Lišajník,12.0,0.0,2900.0,0.0,0,0,0.58,0.0,0.58,0.14
P00009,Stabilizovaný mach - lišajník - Lesná zelená,Sobí mach - Lišajník,46.0,7.0,16200.0,4200.0,0,0,3.24,0.84,3.24,0.76
P00012,Kopčekový mach - Svetlozelená,Kopčekový mach,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00013,Kopčekový mach - Tmavozelená,Kopčekový mach,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00014,Kopčekový mach - Stredná zelená,Kopčekový mach,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00015,Plochý mach - Lesná zelená,Plochý mach,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00016,Stabilizovaná papraď Argyrea,Stabilizované rastliny a kvety,12.0,3.0,0.0,0.0,0,0,0.0,0.0,12.0,2.8
P00017,Stabilizovaná papraď Colombia,Stabilizované rastliny a kvety,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00018,Stabilizovaná papraď Parchment,Stabilizované rastliny a kvety,81.0,21.0,0.0,0.0,0,0,0.0,0.0,81.0,18.9
P00019,Stabilizovaný Eukalyptus Parvifolia,Stabilizované rastliny a kvety,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00020,Stabilizovaný Brečtan - zelený,Stabilizované rastliny a kvety,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00021,Stabilizovaný Amarant - Olivovo zelený,Stabilizované rastliny a kvety,2.0,0.0,0.0,0.0,0,0,0.0,0.0,2.0,0.47
P00022,Stabilizovaný Amarant - vínovo červený,Stabilizované rastliny a kvety,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00024,Tavná pištol Extol,Príslušenstvo,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00025,Rám na machový obraz - 30x30cm - stredne hnedý,Rámy na machové obrazy,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00026,Rám na machový obraz - 40x50cm - stredne hnedý,Rámy na machové obrazy,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00027,Rám na machový obraz - 80x40cm - stredne hnedý,Rámy na machové obrazy,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00028,Rám na machový obraz - 30x30cm - odtieň Lipa,Rámy na machové obrazy,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00029,Rám na machový obraz - 40x50cm - odtieň Lipa,Rámy na machové obrazy,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
P00030,Rám na machový obraz - 80x40cm - odtieň Lipa,Rámy na machové obrazy,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
